GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0174
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0293
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0115
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0174
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0324
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0174
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0326
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0174
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0326
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0143
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0860
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0119
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0144
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0858
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0119
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0152
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0858
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0119
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0152
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0858
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0119
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0044
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0355
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0358
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0117
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0358
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0117
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0358
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0117
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0328
GridSearch: New best config found. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0933
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0045
