GridSearch: New best config found. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1330
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1309
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1269
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1239
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1307
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1318
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1284
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1244
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1262
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1321
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1299
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1257
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 100, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1230
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 100, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1310
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 100, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1308
GridSearch: New best config found. Config {'topK': 100, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1351
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1314
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1266
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1245
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 5, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.1243
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1340
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1328
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1283
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1248
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 10, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.1243
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1315
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1339
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1300
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1254
GridSearch: Config is suboptimal. Config {'topK': 100, 'epochs': 20, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.1244
GridSearch: New best config found. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1330
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1309
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1269
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1239
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1307
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1318
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1284
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1244
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1262
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1321
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.1299
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 50, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.1257
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 100, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.1230
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 100, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.1310
