GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0000
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0855
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0887
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0882
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0855
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0887
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0882
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0869
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0881
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0883
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0885
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0869
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0881
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0883
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0885
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0848
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0899
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0887
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0848
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0899
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0887
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0815
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0881
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0815
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0881
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0898
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0888
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0005
