GridSearch: New best config found. Config {'topK': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0005
GridSearch: New best config found. Config {'topK': 50, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0919
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0919
GridSearch: New best config found. Config {'topK': 50, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0929
GridSearch: Config is suboptimal. Config {'topK': 50, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0929
