GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0110
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0110
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0110
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0110
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0135
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0135
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0135
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0135
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0147
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0147
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0147
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0147
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0149
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0153
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0153
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0153
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0153
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0183
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0183
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0183
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0183
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0338
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0338
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0338
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0338
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0357
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0357
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0357
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0357
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0364
