GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0001
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0689
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0702
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0701
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0689
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0702
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0701
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0645
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0699
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0701
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0645
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0699
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0701
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0686
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0686
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0680
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0680
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0637
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0637
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0022
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0580
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0695
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0022
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0580
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0695
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0064
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0695
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0064
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0695
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0693
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0670
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0691
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0670
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0691
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0623
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0623
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0579
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0579
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0524
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0524
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0009
