GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.0921
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0924
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.0950
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.0943
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.0961
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0956
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.0974
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.0983
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'normalize_similarity': True}, map value is 0.0980
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.5, 'normalize_similarity': False}, map value is 0.0999
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.0976
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.1016
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.0973
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1037
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.0973
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.1050
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0977
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.1067
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.0, 'normalize_similarity': True}, map value is 0.0965
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.0, 'normalize_similarity': False}, map value is 0.1026
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.0910
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0589
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.0850
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0318
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0818
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0217
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.0770
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0167
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.0740
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0137
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.0723
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0115
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.0703
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0098
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.0679
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0087
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.0657
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0076
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 2.0, 'normalize_similarity': True}, map value is 0.0640
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 2.0, 'normalize_similarity': False}, map value is 0.0068
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.0991
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1021
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.0907
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1037
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0924
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1058
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.0941
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.5, 'normalize_similarity': True}, map value is 0.1072
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.5, 'normalize_similarity': False}, map value is 0.0961
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1080
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.0982
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1095
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1006
