GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1034
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0954
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1061
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.0988
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1087
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1016
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1116
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.1034
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.5, 'normalize_similarity': True}, map value is 0.1114
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.5, 'normalize_similarity': False}, map value is 0.1029
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1092
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.0996
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0903
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.0759
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.0711
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0446
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.0428
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.0, 'normalize_similarity': True}, map value is 0.0192
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.0, 'normalize_similarity': False}, map value is 0.0172
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.0056
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0029
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0011
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0015
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.0012
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 2.0, 'normalize_similarity': True}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 2.0, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1040
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0977
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1080
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.1009
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1109
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1040
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1136
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.1063
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.5, 'normalize_similarity': True}, map value is 0.1149
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.5, 'normalize_similarity': False}, map value is 0.1074
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1135
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.1057
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1078
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1004
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.0872
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.0835
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0570
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.0559
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.0, 'normalize_similarity': True}, map value is 0.0255
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.0, 'normalize_similarity': False}, map value is 0.0242
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.0091
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0079
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.0024
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0020
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0016
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.0013
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0011
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 2.0, 'normalize_similarity': True}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.20000000000000001, 'beta': 2.0, 'normalize_similarity': False}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1050
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0989
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1104
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.1025
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1129
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1059
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1157
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.1090
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.5, 'normalize_similarity': True}, map value is 0.1176
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.5, 'normalize_similarity': False}, map value is 0.1112
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1170
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.1102
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1130
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1074
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.0985
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.0947
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0694
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.0689
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 1.0, 'normalize_similarity': True}, map value is 0.0326
