BayesianSearch: New best config found. Config: {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001} - results: {'AUC': 0.025491332670862316, 'precision': 0.011427625041404498, 'recall': 0.0021521340304176736, 'map': 0.005208402340730924, 'NDCG': 0.003003408163634776, 'MRR': 0.023898641934415377}
BayesianSearch: Testing config: {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001} - Exception 'FunkSVD' object has no attribute 'saveModel'
BayesianSearch: New best config found. Config: {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001} - results: {'AUC': 0.06116815722645468, 'precision': 0.01745611129513099, 'recall': 0.0029432924175102917, 'map': 0.012557322144933995, 'NDCG': 0.00656313189192883, 'MRR': 0.058703212984431846}
BayesianSearch: New best config found. Config: {'num_factors': 20, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01} - results: {'AUC': 0.17621729049354076, 'precision': 0.08933421662802091, 'recall': 0.01843142559481655, 'map': 0.05363457362629273, 'NDCG': 0.03942154199846865, 'MRR': 0.18333885392514193}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01} - results: {'AUC': 0.1718974274042176, 'precision': 0.08476316661145868, 'recall': 0.01806955718958762, 'map': 0.05204087078134758, 'NDCG': 0.038221482329567846, 'MRR': 0.17506348680578682}
BayesianSearch: New best config found. Config: {'num_factors': 30, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01} - results: {'AUC': 0.21106602627801713, 'precision': 0.10649221596555145, 'recall': 0.022847574395665576, 'map': 0.0655537613632183, 'NDCG': 0.04813695725508336, 'MRR': 0.21955117588605574}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 30, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001} - results: {'AUC': 0.03689135475322955, 'precision': 0.015435574693607268, 'recall': 0.002180522661053847, 'map': 0.008006238268742428, 'NDCG': 0.0038023318129577145, 'MRR': 0.034721762172904944}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05} - results: {'AUC': 0.05945677376614775, 'precision': 0.0177873468035775, 'recall': 0.0029904123660533183, 'map': 0.012319752677487068, 'NDCG': 0.006480628698942403, 'MRR': 0.05794689190681234}
BayesianSearch: New best config found. Config: {'num_factors': 10, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.01} - results: {'AUC': 0.13818041294026723, 'precision': 0.07028817489234684, 'recall': 0.0139076581457937, 'map': 0.04139321335247099, 'NDCG': 0.030325621009349907, 'MRR': 0.14322899414817356}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 50, 'epochs': 30, 'reg': 0.01, 'learning_rate': 1e-07} - results: {'AUC': 0.02342111074307165, 'precision': 0.009705200397482648, 'recall': 0.0014150216384219679, 'map': 0.00472194619263185, 'NDCG': 0.002028719457045306, 'MRR': 0.02178149497626146}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 10, 'epochs': 50, 'reg': 0.01, 'learning_rate': 0.001} - results: {'AUC': 0.09825273269294468, 'precision': 0.051838357071877096, 'recall': 0.009879244503845426, 'map': 0.027609031688196835, 'NDCG': 0.02029045137457066, 'MRR': 0.10063210776195212}
