BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 0, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.3084492657612892, 'precision': 0.18019211659490444, 'recall': 0.040786467714860636, 'map': 0.1173245831953194, 'NDCG': 0.08025319307372183, 'MRR': 0.3392955724853693}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 200, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.331552942475433, 'precision': 0.20149055978801642, 'recall': 0.046436970280628154, 'map': 0.13244875050605537, 'NDCG': 0.09215580947651197, 'MRR': 0.37176217290493524}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 200, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.38350171138346034, 'precision': 0.25415700563101373, 'recall': 0.06495286241369715, 'map': 0.16976348864598365, 'NDCG': 0.10835013660470702, 'MRR': 0.44259136579441294}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 100, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.33078005962239165, 'precision': 0.20347797283869548, 'recall': 0.047781527353523236, 'map': 0.1334592028265439, 'NDCG': 0.08891305039450464, 'MRR': 0.37302086783703103}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 300, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.34735563652423534, 'precision': 0.2167936402782454, 'recall': 0.052239507719767674, 'map': 0.14141437562106746, 'NDCG': 0.08691961351896918, 'MRR': 0.38930109307717764}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3820111515954517, 'precision': 0.24991719112289823, 'recall': 0.06328815898730807, 'map': 0.16638318427735535, 'NDCG': 0.10822217664316204, 'MRR': 0.436971403334438}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.37640775091089756, 'precision': 0.23835707187811392, 'recall': 0.05901290141206892, 'map': 0.1601512182105929, 'NDCG': 0.10238777264260414, 'MRR': 0.42455283206359734}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31867616208457533, 'precision': 0.19453461411063938, 'recall': 0.044633227519720035, 'map': 0.1264843031172951, 'NDCG': 0.08323013342964936, 'MRR': 0.356094733355415}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.37709782488682836, 'precision': 0.24269625703876474, 'recall': 0.06380133269756841, 'map': 0.15925283390379508, 'NDCG': 0.10255550726199798, 'MRR': 0.4305399138787688}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 500, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3888152809981223, 'precision': 0.2470023186485688, 'recall': 0.062165986678766195, 'map': 0.16688928453130245, 'NDCG': 0.1071236125899509, 'MRR': 0.44044109528541464}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3908440984873577, 'precision': 0.25826432593575105, 'recall': 0.06764713478138416, 'map': 0.17249176511722125, 'NDCG': 0.1144822534444733, 'MRR': 0.448917964005742}
