BayesianSearch: New best config found. Config: {'num_factors': 100, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-05, 'negative_reg': 0.0001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26368790058362268, 'precision': 0.15424248502736917, 'recall': 0.047291140725556929, 'map': 0.10045689218748975, 'NDCG': 0.070696962758033235, 'MRR': 0.28570841810663278}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 0.01, 'negative_reg': 0.001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.21338391074686477, 'precision': 0.12985930022635631, 'recall': 0.039588091476014026, 'map': 0.076881931111557611, 'NDCG': 0.049476084381115129, 'MRR': 0.22812132848099034}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 1e-05, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25647142543294094, 'precision': 0.14931942573860096, 'recall': 0.045849272067656807, 'map': 0.096823931060615834, 'NDCG': 0.067894951493980435, 'MRR': 0.27985691224653281}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 10, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.001, 'positive_reg': 0.001, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25381718581349028, 'precision': 0.15215348024185477, 'recall': 0.046244149141375639, 'map': 0.097797633830355279, 'NDCG': 0.069316987016195, 'MRR': 0.2802189299940005}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 10, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.0001, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25534549292680281, 'precision': 0.14827349055792352, 'recall': 0.04547614482941556, 'map': 0.09628334813881019, 'NDCG': 0.069404651645467233, 'MRR': 0.27936403320248759}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.23571032849051043, 'precision': 0.15082098747743355, 'recall': 0.047372366592684775, 'map': 0.09485263378259487, 'NDCG': 0.062646021539479832, 'MRR': 0.26207314859923381}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.24957135761431298, 'precision': 0.14670888615066724, 'recall': 0.045935120832501924, 'map': 0.094042137496697736, 'NDCG': 0.06516961914757799, 'MRR': 0.27325343152708348}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.22329044521496638, 'precision': 0.1431383786571844, 'recall': 0.044999351377238456, 'map': 0.083588242223945244, 'NDCG': 0.055396562151614731, 'MRR': 0.24159980323049293}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 5, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25299810871994738, 'precision': 0.15280396595696033, 'recall': 0.047968925628727455, 'map': 0.098552263327319173, 'NDCG': 0.070024275867372837, 'MRR': 0.28002789160483454}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 30, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-05, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25796152486842266, 'precision': 0.15118491560879105, 'recall': 0.045591973362704291, 'map': 0.096728081528819204, 'NDCG': 0.070293606996492411, 'MRR': 0.28194066347634295}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 30, 'epochs': 5, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 1e-05, 'negative_reg': 0.001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25879851181094987, 'precision': 0.15483279364988733, 'recall': 0.047348256987235708, 'map': 0.099642109477736718, 'NDCG': 0.072406207773472744, 'MRR': 0.28300068773821724}
