BayesianSearch: New best config found. Config: {'num_factors': 50, 'epochs': 20, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 0.001, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.2665893783813626, 'precision': 0.1519708512752595, 'recall': 0.032135080569644106, 'map': 0.095135208494351239, 'NDCG': 0.059201599309438704, 'MRR': 0.28778017003422784}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 25, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 0.0001, 'negative_reg': 0.001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26318041294026706, 'precision': 0.1494203378602216, 'recall': 0.030795256377521063, 'map': 0.093262071694086429, 'NDCG': 0.059805452508442214, 'MRR': 0.28410621618637488}
BayesianSearch: New best config found. Config: {'num_factors': 30, 'epochs': 15, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.001, 'negative_reg': 0.0001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26476758308490661, 'precision': 0.15425637628354083, 'recall': 0.033020315785451018, 'map': 0.095628059327960493, 'NDCG': 0.060532029077606436, 'MRR': 0.28832394832726077}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 10, 'epochs': 20, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 0.01, 'negative_reg': 0.001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25876393949431409, 'precision': 0.15395826432593912, 'recall': 0.032727702942733902, 'map': 0.094028559861617775, 'NDCG': 0.059121963666776585, 'MRR': 0.27991056641271889}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 20, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.001, 'negative_reg': 0.001, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26483659048250002, 'precision': 0.15359390526664754, 'recall': 0.032050982816239929, 'map': 0.095532415074896862, 'NDCG': 0.059623555194663024, 'MRR': 0.28530142431268579}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 5, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.01, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26520923042950223, 'precision': 0.14991719112289173, 'recall': 0.032050184081445367, 'map': 0.093890315041773142, 'NDCG': 0.059631187800178724, 'MRR': 0.28788782157447285}
BayesianSearch: New best config found. Config: {'num_factors': 100, 'epochs': 60, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-05, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25080048581207903, 'precision': 0.15269956939384211, 'recall': 0.031338358405253022, 'map': 0.097916436642008498, 'NDCG': 0.054910251600092504, 'MRR': 0.27783206359721757}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 15, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26189687534503697, 'precision': 0.1546207353428323, 'recall': 0.033189627144670969, 'map': 0.095044578778845645, 'NDCG': 0.059458728002372119, 'MRR': 0.28248040189908352}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 20, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.26824555592359522, 'precision': 0.15163961576681345, 'recall': 0.032175797483651597, 'map': 0.095872621545030248, 'NDCG': 0.05979087945315157, 'MRR': 0.28908302970078387}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 25, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-05, 'negative_reg': 1e-05, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25862592469912798, 'precision': 0.1487247432924837, 'recall': 0.030990512054723956, 'map': 0.09268047734717233, 'NDCG': 0.058173450339922876, 'MRR': 0.27996577233079406}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 100, 'epochs': 10, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.01, 'sgd_mode': 'adagrad'} - results: {'AUC': 0.25173898641934422, 'precision': 0.15468698244452084, 'recall': 0.032924133547697319, 'map': 0.093872511133193878, 'NDCG': 0.058224290141461923, 'MRR': 0.27740697802804443}
