BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 0.001, 'epochs': 15} - results: {'AUC': 0.36330725659321195, 'precision': 0.2217124681205167, 'recall': 0.081637772839342551, 'map': 0.15284249999207161, 'NDCG': 0.11212024488767905, 'MRR': 0.41020670353706351}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-06, 'epochs': 15} - results: {'AUC': 0.36505406386413186, 'precision': 0.22376708599597958, 'recall': 0.082394369077826921, 'map': 0.15424074578206373, 'NDCG': 0.113104135099765, 'MRR': 0.41258871345195453}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.37306931827950918, 'precision': 0.2297876608304972, 'recall': 0.084962880255092688, 'map': 0.15839977489313486, 'NDCG': 0.11592906267253367, 'MRR': 0.42169837903925322}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.3725929162965293, 'precision': 0.22974181161709734, 'recall': 0.084875219473865338, 'map': 0.158331112512096, 'NDCG': 0.11591852901696337, 'MRR': 0.42167020087685075}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.37258933432673408, 'precision': 0.2296013984010617, 'recall': 0.084858741251334441, 'map': 0.15824985751723802, 'NDCG': 0.11574548081330675, 'MRR': 0.42109374253754822}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.37313379373584921, 'precision': 0.22996532653241966, 'recall': 0.085574401550616297, 'map': 0.15799593167834045, 'NDCG': 0.11590313798115361, 'MRR': 0.42083822869203702}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37344303712830912, 'precision': 0.23003123477668119, 'recall': 0.085597086800120667, 'map': 0.15804650113193883, 'NDCG': 0.1159941908182251, 'MRR': 0.42089267463294938}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37398988451729392, 'precision': 0.23013152993099298, 'recall': 0.085645602340485572, 'map': 0.15829448488093942, 'NDCG': 0.11622487728799565, 'MRR': 0.421586382783602}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.36326546694558126, 'precision': 0.22187007479157783, 'recall': 0.081757005819692447, 'map': 0.1528874537130224, 'NDCG': 0.11222247549918381, 'MRR': 0.41018736090015984}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 15} - results: {'AUC': 0.36320337946910358, 'precision': 0.22182995672985301, 'recall': 0.081702741998328124, 'map': 0.15289598278110547, 'NDCG': 0.11207254638742145, 'MRR': 0.41010019963510397}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 1e-09, 'epochs': 15} - results: {'AUC': 0.36331561452273714, 'precision': 0.2218242255781778, 'recall': 0.081734407085256922, 'map': 0.15289105160268479, 'NDCG': 0.112166087559307, 'MRR': 0.41006605152304076}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.36365828963330066, 'precision': 0.22203914376598799, 'recall': 0.081815183031207814, 'map': 0.1530545048444471, 'NDCG': 0.11233236279900002, 'MRR': 0.41047654526175753}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.37030881355608453, 'precision': 0.22770438719665934, 'recall': 0.084216166062958189, 'map': 0.15670613997386407, 'NDCG': 0.11490358723511467, 'MRR': 0.41815485571824196}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.001, 'epochs': 10} - results: {'AUC': 0.37039597482114067, 'precision': 0.22780181677513311, 'recall': 0.084268697604467799, 'map': 0.1568142836219967, 'NDCG': 0.11499771201685088, 'MRR': 0.41850350077846693}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37330334030623358, 'precision': 0.23024042181281634, 'recall': 0.085689784906169325, 'map': 0.15809032454242061, 'NDCG': 0.11608749089505334, 'MRR': 0.42079428986252965}
