BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 15} - results: {'AUC': 0.34375089549245075, 'precision': 0.2001031607301908, 'recall': 0.06817091683064194, 'map': 0.13376952571537942, 'NDCG': 0.10622596173004017, 'MRR': 0.3815624074657754}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 10} - results: {'AUC': 0.3468266135579974, 'precision': 0.2021147949680916, 'recall': 0.06889958980496919, 'map': 0.1358361750293945, 'NDCG': 0.10740641761925279, 'MRR': 0.38519285325385455}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 10} - results: {'AUC': 0.3441270023211172, 'precision': 0.20197724732789357, 'recall': 0.06901357125029643, 'map': 0.135237850754464, 'NDCG': 0.10709083429975769, 'MRR': 0.3836373231700855}
BayesianSearch: Testing config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-09} - Exception No module named 'SLIM_ElasticNet'
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 295} - results: {'AUC': 0.3620750589831021, 'precision': 0.22382726308856693, 'recall': 0.08051278101959922, 'map': 0.15378956086645731, 'NDCG': 0.11389629390060936, 'MRR': 0.41020097238538766}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 290} - results: {'AUC': 0.35629614771088153, 'precision': 0.22282431154545454, 'recall': 0.08049798378624716, 'map': 0.15187805064430915, 'NDCG': 0.11221763772235949, 'MRR': 0.40531659837043055}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.001, 'epochs': 300} - results: {'AUC': 0.36006676791701253, 'precision': 0.2236753875691818, 'recall': 0.08038688364335717, 'map': 0.15329317149201097, 'NDCG': 0.11371836258507328, 'MRR': 0.4088145112760286}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 300} - results: {'AUC': 0.3431467365867149, 'precision': 0.21155973292837624, 'recall': 0.07537191081499887, 'map': 0.14324450844233225, 'NDCG': 0.10632226094584349, 'MRR': 0.38702037424419644}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 65} - results: {'AUC': 0.3510306521095401, 'precision': 0.21668911367743968, 'recall': 0.07670905835173741, 'map': 0.14795852795372152, 'NDCG': 0.11050313702366012, 'MRR': 0.39749859109187063}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 65} - results: {'AUC': 0.3444457976330341, 'precision': 0.21186348396714738, 'recall': 0.07468714215814488, 'map': 0.1434398889748821, 'NDCG': 0.10813291829129539, 'MRR': 0.3882320352274706}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 300} - results: {'AUC': 0.343647018368341, 'precision': 0.21122446055539332, 'recall': 0.07505982174131158, 'map': 0.14303458909237074, 'NDCG': 0.10581192699501495, 'MRR': 0.38686109598723173}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 300} - results: {'AUC': 0.34687795512508246, 'precision': 0.21461730234695178, 'recall': 0.07538393014543558, 'map': 0.14618359425996152, 'NDCG': 0.10811431471405275, 'MRR': 0.3927481827473128}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 45} - results: {'AUC': 0.3423933289394495, 'precision': 0.21212998252003157, 'recall': 0.07474052581521044, 'map': 0.14312019021058328, 'NDCG': 0.10769909680710948, 'MRR': 0.3868231271073819}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 150} - results: {'AUC': 0.3515321278810972, 'precision': 0.21608734275157432, 'recall': 0.07695700365197683, 'map': 0.14690123792879342, 'NDCG': 0.11126964955531461, 'MRR': 0.3972220630235545}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 170} - results: {'AUC': 0.3517363001595157, 'precision': 0.21609020832741102, 'recall': 0.0771597725533979, 'map': 0.14680984993937532, 'NDCG': 0.11106966832288397, 'MRR': 0.3973875500281684}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 75} - results: {'AUC': 0.3453938256392609, 'precision': 0.2118634839671473, 'recall': 0.07466646487551884, 'map': 0.14377386785877339, 'NDCG': 0.10810477161173383, 'MRR': 0.3902699372438811}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 135} - results: {'AUC': 0.35195599430705476, 'precision': 0.21682666131764003, 'recall': 0.07744905071174696, 'map': 0.14714368554447618, 'NDCG': 0.1112754882766696, 'MRR': 0.39737178936106243}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 115} - results: {'AUC': 0.3499059135933351, 'precision': 0.21710175659803566, 'recall': 0.0768108747149647, 'map': 0.14752462405239966, 'NDCG': 0.11121694003554311, 'MRR': 0.3967919878499493}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 75} - results: {'AUC': 0.3482223877888246, 'precision': 0.21666618907074017, 'recall': 0.07686854772375586, 'map': 0.14700914675890417, 'NDCG': 0.10996324531771987, 'MRR': 0.39489664823145293}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 70} - results: {'AUC': 0.3500933700127043, 'precision': 0.21649998567216677, 'recall': 0.0765627400063323, 'map': 0.14701781512581277, 'NDCG': 0.1102699918756744, 'MRR': 0.39526248674670045}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.0, 'epochs': 85} - results: {'AUC': 0.34830596708408584, 'precision': 0.21690116628941106, 'recall': 0.0768915455885524, 'map': 0.1473135544921379, 'NDCG': 0.10977973502483289, 'MRR': 0.39548719565195617}
