BayesianSearch: Testing config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001} - Exception No module named 'Base'
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 20} - results: {'AUC': 0.3252042618968753, 'precision': 0.2034779728386964, 'recall': 0.049608852446769325, 'map': 0.12745450112252107, 'NDCG': 0.08645077311109478, 'MRR': 0.36093077177873417}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 10} - results: {'AUC': 0.3258529314342495, 'precision': 0.2034448492878518, 'recall': 0.049390070148638936, 'map': 0.12755253763203486, 'NDCG': 0.08612101494416233, 'MRR': 0.36070166721872565}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 25} - results: {'AUC': 0.3262255713812522, 'precision': 0.20274925472011418, 'recall': 0.049068816695143146, 'map': 0.12793474660483653, 'NDCG': 0.08626923236659145, 'MRR': 0.36114883515512836}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 15} - results: {'AUC': 0.31835872805564763, 'precision': 0.20427293805896793, 'recall': 0.05072788192080234, 'map': 0.12625676272496494, 'NDCG': 0.08668297665868802, 'MRR': 0.35598708181516997}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 10} - results: {'AUC': 0.3228304074196754, 'precision': 0.20447167936403587, 'recall': 0.04975445460928112, 'map': 0.12719254904125776, 'NDCG': 0.0860114635775844, 'MRR': 0.3589488793198621}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 40} - results: {'AUC': 0.3284890140223033, 'precision': 0.20308049022856067, 'recall': 0.04941840758687196, 'map': 0.12805044900813445, 'NDCG': 0.08689601595635607, 'MRR': 0.363196974715689}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.32189190681241, 'precision': 0.20264988406758, 'recall': 0.049201355000175424, 'map': 0.12658128151337872, 'NDCG': 0.08575502718914037, 'MRR': 0.35795517279452316}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 15} - results: {'AUC': 0.31452191674947555, 'precision': 0.20503477972839493, 'recall': 0.05061699609116072, 'map': 0.12637177505428654, 'NDCG': 0.08645240744044412, 'MRR': 0.354582091200176}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 10} - results: {'AUC': 0.3147841448603287, 'precision': 0.20533289168599683, 'recall': 0.05088980473887308, 'map': 0.12668943910787286, 'NDCG': 0.08670400367576907, 'MRR': 0.35659434691398884}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.32705366015236864, 'precision': 0.203312355084473, 'recall': 0.04963223320809074, 'map': 0.12726201648816798, 'NDCG': 0.08658810680668583, 'MRR': 0.3606464613006509}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 5} - results: {'AUC': 0.3265568068896983, 'precision': 0.20178867174561882, 'recall': 0.048631726985097185, 'map': 0.12716807441757844, 'NDCG': 0.08573260575292062, 'MRR': 0.35956166501048925}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 10} - results: {'AUC': 0.3234790769570494, 'precision': 0.20158993044055099, 'recall': 0.04866284015081831, 'map': 0.12650233705053243, 'NDCG': 0.085302064546565, 'MRR': 0.3570028707077394}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 40} - results: {'AUC': 0.32209892900518927, 'precision': 0.20261676051673536, 'recall': 0.04963240470301835, 'map': 0.12643144345073837, 'NDCG': 0.08610903336986195, 'MRR': 0.3584271833940596}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 10} - results: {'AUC': 0.3246660041956498, 'precision': 0.20274925472011374, 'recall': 0.049299355254672064, 'map': 0.12697549777336192, 'NDCG': 0.08624261317647171, 'MRR': 0.35826984652754734}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 40} - results: {'AUC': 0.3222093408413383, 'precision': 0.2032792315336284, 'recall': 0.05000369407720821, 'map': 0.12653334437451771, 'NDCG': 0.08629344560048377, 'MRR': 0.3583636965882737}
BayesianSearch: Best config is: Config {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 40}, map value is 0.1281
