BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 5} - results: {'AUC': 0.2641189135475324, 'precision': 0.1383901954289521, 'recall': 0.02604749248210054, 'map': 0.0859349582275223, 'NDCG': 0.04989282669368487, 'MRR': 0.27488130727613985}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 5} - results: {'AUC': 0.26941868168267585, 'precision': 0.1412056972507475, 'recall': 0.026924319033933893, 'map': 0.08859983990283797, 'NDCG': 0.05216112163580097, 'MRR': 0.2798056751683775}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.263221817378823, 'precision': 0.13855581318317545, 'recall': 0.026417771448124704, 'map': 0.08662213389275372, 'NDCG': 0.050373205563649485, 'MRR': 0.27445898200287017}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 5} - results: {'AUC': 0.26813514408744593, 'precision': 0.13756210665783578, 'recall': 0.026203082032196977, 'map': 0.08649566633543139, 'NDCG': 0.050637714711350916, 'MRR': 0.2782488682786792}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.25189080269404873, 'precision': 0.12868499503146888, 'recall': 0.023701654097021112, 'map': 0.08020315777851418, 'NDCG': 0.046511184393506, 'MRR': 0.2607927569835487}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.2678315115380368, 'precision': 0.14080821464061194, 'recall': 0.02629817497710065, 'map': 0.0884673456994594, 'NDCG': 0.05125784153008754, 'MRR': 0.2794633984763163}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 10} - results: {'AUC': 0.269639505354974, 'precision': 0.13898641934415581, 'recall': 0.02614014464181293, 'map': 0.08774276802473262, 'NDCG': 0.050917932078584416, 'MRR': 0.2772303190902058}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 10} - results: {'AUC': 0.2590951750027604, 'precision': 0.13514408744617631, 'recall': 0.025292698186622914, 'map': 0.08423990651797901, 'NDCG': 0.049123345843979635, 'MRR': 0.2704648338301864}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.2680799381693717, 'precision': 0.1414706856575047, 'recall': 0.027219631745121486, 'map': 0.08854974053218549, 'NDCG': 0.0520682321802311, 'MRR': 0.2803880976040628}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 5} - results: {'AUC': 0.25204261896875346, 'precision': 0.12842000662471176, 'recall': 0.0237437544331727, 'map': 0.07950627507268819, 'NDCG': 0.04643450058589012, 'MRR': 0.26023517721099687}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 5} - results: {'AUC': 0.26827315888263187, 'precision': 0.14279562769129062, 'recall': 0.02702209221251894, 'map': 0.08951837436973276, 'NDCG': 0.051825678859210814, 'MRR': 0.2802252401457434}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-09, 'epochs': 10} - results: {'AUC': 0.2589847631666113, 'precision': 0.13431599867505994, 'recall': 0.0249956570646213, 'map': 0.08390342644731533, 'NDCG': 0.04845086671897858, 'MRR': 0.2699873026388425}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 5} - results: {'AUC': 0.2660649221596555, 'precision': 0.1410400794965242, 'recall': 0.02641988327725336, 'map': 0.08837777409738357, 'NDCG': 0.0517869405293422, 'MRR': 0.27847797283868786}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 5} - results: {'AUC': 0.25698354863641404, 'precision': 0.130208678370323, 'recall': 0.02458922040393907, 'map': 0.0810479923447797, 'NDCG': 0.047896972878122876, 'MRR': 0.26582477641603175}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 5} - results: {'AUC': 0.2549685326266973, 'precision': 0.12871811858231352, 'recall': 0.023812940615086552, 'map': 0.07972742077950783, 'NDCG': 0.04651048160440749, 'MRR': 0.26328254388870487}
