BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 300, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.3000855691730157, 'precision': 0.1815501821795344, 'recall': 0.035699110619751374, 'map': 0.11910069559456814, 'NDCG': 0.07143156997593485, 'MRR': 0.33598321740090414}
BayesianSearch: Testing config: {'topK': 100, 'shrink': 300, 'similarity': 'adjusted', 'normalize': False} - Exception 'UserKNNCFRecommender' object has no attribute 'saveModel'
BayesianSearch: New best config found. Config: {'topK': 50, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.2678867174561111, 'precision': 0.163597217621732, 'recall': 0.029532051433897307, 'map': 0.10649226197048392, 'NDCG': 0.05902922067291243, 'MRR': 0.29946450259467733}
BayesianSearch: Testing config: {'topK': 50, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - Exception 'UserKNNCFRecommender' object has no attribute 'saveModel'
BayesianSearch: New best config found. Config: {'topK': 50, 'shrink': 10, 'similarity': 'pearson', 'normalize': False} - results: {'AUC': 0.23245831953185384, 'precision': 0.14571050016561968, 'recall': 0.023215020776378624, 'map': 0.09460826800633035, 'NDCG': 0.04719000620433229, 'MRR': 0.26165120900960587}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 500, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.3052611239924918, 'precision': 0.19592580324611367, 'recall': 0.0391784085374148, 'map': 0.12897201980052284, 'NDCG': 0.07579751073529867, 'MRR': 0.34892624489345136}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.39929060395274363, 'precision': 0.27022192779066967, 'recall': 0.07141333790805109, 'map': 0.18098376946008643, 'NDCG': 0.12414410947688613, 'MRR': 0.4640526664458438}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 300, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.32999337528983136, 'precision': 0.19897316992382227, 'recall': 0.044222655823607925, 'map': 0.1306080931875908, 'NDCG': 0.08426636018408243, 'MRR': 0.3676272496411606}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 200, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.3191316109086895, 'precision': 0.20231864855913217, 'recall': 0.04198622501692829, 'map': 0.1330807662581438, 'NDCG': 0.08116714508857599, 'MRR': 0.361513194214419}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.26704482720547623, 'precision': 0.17949652202716473, 'recall': 0.030021113890684684, 'map': 0.12037038570534807, 'NDCG': 0.06032779083206093, 'MRR': 0.3102462183946114}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.26710003312355063, 'precision': 0.17946339847632004, 'recall': 0.030007312411166078, 'map': 0.12034609510139534, 'NDCG': 0.060307861414939136, 'MRR': 0.3102324169150928}
