BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38525716248318576, 'precision': 0.25673316351362974, 'recall': 0.08838677487163653, 'map': 0.1753866699422609, 'NDCG': 0.12430693891946541, 'MRR': 0.4452722363738474, 'F1': 0.1315010452988131, 'HR': 1.2836658175677609, 'ARHR': 0.6227453561921843}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38494471316675954, 'precision': 0.2581585048227717, 'recall': 0.08885390069509717, 'map': 0.1768078174342395, 'NDCG': 0.12467829017064852, 'MRR': 0.4464297299102008, 'F1': 0.13220501507365356, 'HR': 1.2907925241134548, 'ARHR': 0.6258340727171798}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 200, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.3260992968697819, 'precision': 0.19850596754347377, 'recall': 0.06403832720236421, 'map': 0.13141439365753504, 'NDCG': 0.10327715764622929, 'MRR': 0.36691948825094944, 'F1': 0.09683691746931312, 'HR': 0.9925298377171642, 'ARHR': 0.4881188166041559}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.32610287453371045, 'precision': 0.19850596754347377, 'recall': 0.06403832720236421, 'map': 0.1314146321684636, 'NDCG': 0.1032774906156808, 'MRR': 0.3669206808055923, 'F1': 0.09683691746931312, 'HR': 0.9925298377171642, 'ARHR': 0.48812000915879883}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.33606428346546807, 'precision': 0.20513752540145963, 'recall': 0.06775681222082888, 'map': 0.13622186366081468, 'NDCG': 0.10724108977224618, 'MRR': 0.37750555730463, 'F1': 0.10186700764242594, 'HR': 1.0256876270070694, 'ARHR': 0.5041121669194637}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 500, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.3260992968697819, 'precision': 0.19850596754347377, 'recall': 0.06403832720236421, 'map': 0.13141439365753504, 'NDCG': 0.10327715764622929, 'MRR': 0.36691948825094944, 'F1': 0.09683691746931312, 'HR': 0.9925298377171642, 'ARHR': 0.4881188166041559}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38174270395069276, 'precision': 0.25342167778135133, 'recall': 0.08719742272485485, 'map': 0.1723736806370912, 'NDCG': 0.12171213434141503, 'MRR': 0.44048770714672025, 'F1': 0.1297503113143229, 'HR': 1.2671083889063797, 'ARHR': 0.6136611904557083}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3817856359178375, 'precision': 0.2533959186010663, 'recall': 0.08709260510809463, 'map': 0.1724137743241831, 'NDCG': 0.12182302659502284, 'MRR': 0.440637253498935, 'F1': 0.12963086352699757, 'HR': 1.2669795930049514, 'ARHR': 0.613788555291565}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38216606084890503, 'precision': 0.2534130913879227, 'recall': 0.08723058193278632, 'map': 0.17241282028046967, 'NDCG': 0.12179424036167324, 'MRR': 0.4406215117776481, 'F1': 0.12978589160728726, 'HR': 1.267065456939237, 'ARHR': 0.6138305332149938}
BayesianSearch: New best config found. Config: {'topK': 500, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3871938712231797, 'precision': 0.2574086264633416, 'recall': 0.08960296586909218, 'map': 0.17639784099911823, 'NDCG': 0.12725616618841376, 'MRR': 0.44793902706619865, 'F1': 0.13293259868568919, 'HR': 1.2870431323163227, 'ARHR': 0.6260938111183898}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.388788316780675, 'precision': 0.2589341423624835, 'recall': 0.08983031566681549, 'map': 0.17820706564779137, 'NDCG': 0.12751609417354026, 'MRR': 0.4507656200806892, 'F1': 0.13338592972902072, 'HR': 1.2946707118120153, 'ARHR': 0.6310541228998757}
