BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 300, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3353974251329418, 'precision': 0.2252980688496645, 'recall': 0.05614762844850605, 'map': 0.15035131542120914, 'NDCG': 0.08284113314325314, 'MRR': 0.38674293310942515, 'F1': 0.08989266761847295, 'HR': 1.1264903442485306, 'ARHR': 0.5362608452281493}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 300, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.33392107472711985, 'precision': 0.22468513853900243, 'recall': 0.055680725974342093, 'map': 0.1503883524582466, 'NDCG': 0.08172551865534676, 'MRR': 0.38768331933948613, 'F1': 0.08924504166163792, 'HR': 1.1234256926952142, 'ARHR': 0.5375069969214061}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.33521200671704526, 'precision': 0.2230310663307738, 'recall': 0.05521224765639931, 'map': 0.14902239014832844, 'NDCG': 0.08187502856611813, 'MRR': 0.3850244892247354, 'F1': 0.08851279330214688, 'HR': 1.115155331654072, 'ARHR': 0.5325783655192196}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 500, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3258816120906804, 'precision': 0.21675062972288298, 'recall': 0.05328119603270385, 'map': 0.14378279223807572, 'NDCG': 0.07952405291002074, 'MRR': 0.37380352644835335, 'F1': 0.08553608642360555, 'HR': 1.0837531486146095, 'ARHR': 0.5154422054296554}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 500, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3153932269801286, 'precision': 0.19842989084799356, 'recall': 0.049468693111291324, 'map': 0.13193143017071846, 'NDCG': 0.07593380358390449, 'MRR': 0.3562685418415761, 'F1': 0.07919421900432178, 'HR': 0.9921494542401343, 'ARHR': 0.4806780016792942}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.31532325776658243, 'precision': 0.1968933669185237, 'recall': 0.0490113311761264, 'map': 0.1312739877787038, 'NDCG': 0.07554489202393429, 'MRR': 0.3561069129582836, 'F1': 0.07848573929003987, 'HR': 0.9844668345927792, 'ARHR': 0.4794325496781733}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3178561432969495, 'precision': 0.19874895046176258, 'recall': 0.04951395497359335, 'map': 0.13230799281648703, 'NDCG': 0.07607419495980566, 'MRR': 0.35683809123983956, 'F1': 0.07927762358984446, 'HR': 0.9937447523089841, 'ARHR': 0.4814959417856482}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 200, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.2605828435488388, 'precision': 0.15496221662466383, 'recall': 0.03163332480321507, 'map': 0.0986315771060684, 'NDCG': 0.05600111843735323, 'MRR': 0.2862874335292323, 'F1': 0.05254112818776891, 'HR': 0.7748110831234257, 'ARHR': 0.3728834312902226}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3367233417296385, 'precision': 0.2260117548278347, 'recall': 0.056261490089733, 'map': 0.15109978776004737, 'NDCG': 0.08331766023055148, 'MRR': 0.3881311223061791, 'F1': 0.09009538334476419, 'HR': 1.1300587741393786, 'ARHR': 0.5386153092639718}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3339350685698296, 'precision': 0.22572628043656698, 'recall': 0.056126641944384104, 'map': 0.15073749883384077, 'NDCG': 0.08200335954429101, 'MRR': 0.38677511894765787, 'F1': 0.08989978186124407, 'HR': 1.1286314021830395, 'ARHR': 0.5377197033305872}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31434368877693847, 'precision': 0.1929974811082806, 'recall': 0.04639744494620002, 'map': 0.1266540022390089, 'NDCG': 0.07464797604329543, 'MRR': 0.35120836831792457, 'F1': 0.07481019044187155, 'HR': 0.9649874055415617, 'ARHR': 0.4681598096837695}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3367233417296385, 'precision': 0.2260117548278347, 'recall': 0.056261490089733, 'map': 0.15109978776004737, 'NDCG': 0.08331766023055148, 'MRR': 0.3881311223061791, 'F1': 0.09009538334476419, 'HR': 1.1300587741393786, 'ARHR': 0.5386153092639718}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 200, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3146585502378948, 'precision': 0.1988245172123932, 'recall': 0.049686874574777676, 'map': 0.13196017585595002, 'NDCG': 0.07595038702510595, 'MRR': 0.3548887489504457, 'F1': 0.07950515892312424, 'HR': 0.9941225860621327, 'ARHR': 0.4797767982088206}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3241498740554156, 'precision': 0.21272879932825706, 'recall': 0.051871397642743115, 'map': 0.14222986052802805, 'NDCG': 0.08193933438050248, 'MRR': 0.37120906801006665, 'F1': 0.08340538114738212, 'HR': 1.0636439966414777, 'ARHR': 0.5101245452001575}
