BayesianSearch: New best config found. Config: {'num_factors': 50, 'epochs': 148, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-06, 'negative_reg': 1e-06, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23869647355163676, 'precision': 0.13456759026027593, 'recall': 0.03314922905291263, 'map': 0.08593529013900311, 'NDCG': 0.038605007838912735, 'MRR': 0.25783725160928295, 'F1': 0.05319456797360814, 'HR': 0.6728379513014273, 'ARHR': 0.33060453400502016}
ParameterSearch: Best result evaluated on URM_test. Config: {'num_factors': 50, 'epochs': 148, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-06, 'negative_reg': 1e-06, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.24218443884690707, 'precision': 0.13928631402181818, 'recall': 0.03379997053812911, 'map': 0.089685709954284, 'NDCG': 0.04005755410757861, 'MRR': 0.2638420095158029, 'F1': 0.05439914921359945, 'HR': 0.696431570109152, 'ARHR': 0.34157080884408825}
BayesianSearch: New best config found. Config: {'num_factors': 150, 'epochs': 76, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 1e-06, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23520850825636744, 'precision': 0.13762384550796586, 'recall': 0.03370623253887106, 'map': 0.08626337578132044, 'NDCG': 0.03908052793818947, 'MRR': 0.2586397984886548, 'F1': 0.054150227356075185, 'HR': 0.6881192275398824, 'ARHR': 0.3317982087881159}
ParameterSearch: Best result evaluated on URM_test. Config: {'num_factors': 150, 'epochs': 76, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 1e-06, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.24073957458718143, 'precision': 0.13819479429049997, 'recall': 0.033918578239911096, 'map': 0.08864171098049922, 'NDCG': 0.03969852705736104, 'MRR': 0.26247201231457146, 'F1': 0.05446841083382433, 'HR': 0.6909739714525609, 'ARHR': 0.3385866218863495}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 10, 'epochs': 150, 'batch_size': 1, 'user_reg': 1e-06, 'positive_reg': 1e-06, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23559683739154785, 'precision': 0.13580184718722849, 'recall': 0.033525708059622114, 'map': 0.08562918649127435, 'NDCG': 0.038626171777864114, 'MRR': 0.253583123425684, 'F1': 0.053775690272255525, 'HR': 0.6790092359361881, 'ARHR': 0.3274874055415433}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 284, 'batch_size': 1, 'user_reg': 0.001, 'positive_reg': 0.001, 'negative_reg': 0.001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2329275118947662, 'precision': 0.13742233417295338, 'recall': 0.033681016054126184, 'map': 0.08572279363746352, 'NDCG': 0.039104782785118176, 'MRR': 0.25676182479707976, 'F1': 0.054102083183432674, 'HR': 0.6871116708648195, 'ARHR': 0.32954589980406784}
BayesianSearch: New best config found. Config: {'num_factors': 150, 'epochs': 52, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0001, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2367513294150577, 'precision': 0.13614609571787462, 'recall': 0.03381715863609049, 'map': 0.08640450368504285, 'NDCG': 0.03882653878322745, 'MRR': 0.2555667506297142, 'F1': 0.05417728830947531, 'HR': 0.6807304785894207, 'ARHR': 0.33017772180238714}
ParameterSearch: Best result evaluated on URM_test. Config: {'num_factors': 150, 'epochs': 52, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0001, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2374230338650987, 'precision': 0.13974811083122143, 'recall': 0.03409113340915218, 'map': 0.08814506950274914, 'NDCG': 0.03952686782749841, 'MRR': 0.2601938147215114, 'F1': 0.05481123104097907, 'HR': 0.6987405541561713, 'ARHR': 0.3362188636999516}
BayesianSearch: New best config found. Config: {'num_factors': 200, 'epochs': 32, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23775888609012052, 'precision': 0.13689336691854587, 'recall': 0.033502420828563445, 'map': 0.08723351058867222, 'NDCG': 0.03902360186263209, 'MRR': 0.25781206269240603, 'F1': 0.053830663865361575, 'HR': 0.6844668345927791, 'ARHR': 0.33330674503216656}
ParameterSearch: Best result evaluated on URM_test. Config: {'num_factors': 200, 'epochs': 32, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23565631122306127, 'precision': 0.13801007556673814, 'recall': 0.03368870952227436, 'map': 0.08682743259632118, 'NDCG': 0.03955662846196011, 'MRR': 0.25638119227538897, 'F1': 0.054157416949742916, 'HR': 0.6900503778337531, 'ARHR': 0.3309200951581105}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 144, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23487265603134613, 'precision': 0.1373971452560769, 'recall': 0.03353774596691053, 'map': 0.08648394206548882, 'NDCG': 0.039062424680022315, 'MRR': 0.2585677301987026, 'F1': 0.053915154725968875, 'HR': 0.6869857262804366, 'ARHR': 0.3321809403862122}
