BayesianSearch: New best config found. Config: {'topK': 500, 'alpha': 0.30000000000000004, 'beta': 1.3000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.000843129023229779, 'precision': 0.0003694374475230899, 'recall': 4.976898856689986e-05, 'map': 0.00015910999160369444, 'NDCG': 9.790063509649161e-05, 'MRR': 0.0007787573467674223, 'F1': 8.77206384208011e-05, 'HR': 0.0018471872376154492, 'ARHR': 0.0007871536523929469}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'alpha': 0.30000000000000004, 'beta': 1.3000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.0011754827875734676, 'precision': 0.00039462636439966406, 'recall': 0.00011279189333667198, 'map': 0.0002249276984793357, 'NDCG': 0.00011249808235857151, 'MRR': 0.0010152532885530363, 'F1': 0.0001754397053025795, 'HR': 0.001973131821998321, 'ARHR': 0.0010607332773579622}
BayesianSearch: New best config found. Config: {'topK': 100, 'alpha': 0.30000000000000004, 'beta': 0.5000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.33781136300027986, 'precision': 0.2184970612929914, 'recall': 0.05470398518254048, 'map': 0.1461493259632369, 'NDCG': 0.0831858553274023, 'MRR': 0.38452280996361043, 'F1': 0.08750083616148176, 'HR': 1.0924853064651554, 'ARHR': 0.5264161768822176}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'alpha': 0.30000000000000004, 'beta': 0.5000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.3340190316260839, 'precision': 0.22124265323253936, 'recall': 0.05474553764718613, 'map': 0.14849961516931923, 'NDCG': 0.0834195787505533, 'MRR': 0.3849307304785826, 'F1': 0.08777221926124883, 'HR': 1.1062132661628883, 'ARHR': 0.5318436887769876}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'alpha': 1.3000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': False} - results: {'AUC': 0.0035894206549118386, 'precision': 0.001544920235096557, 'recall': 0.00024655087459728327, 'map': 0.0007307584662748382, 'NDCG': 0.0003744216775648706, 'MRR': 0.003289952420934791, 'F1': 0.0004252387136861974, 'HR': 0.007724601175482787, 'ARHR': 0.00342989084802687}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'alpha': 0.5000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.33454380072768, 'precision': 0.21399664147771177, 'recall': 0.05428512902513939, 'map': 0.14244671844387854, 'NDCG': 0.08252651725505354, 'MRR': 0.380642317380346, 'F1': 0.0866017491370374, 'HR': 1.069983207388749, 'ARHR': 0.5168765743073498}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 1.3000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.04760005597537084, 'precision': 0.022460117548278303, 'recall': 0.004447156861436512, 'map': 0.01270191948875821, 'NDCG': 0.00816720431125931, 'MRR': 0.04701511335012635, 'F1': 0.007424287153174732, 'HR': 0.11230058774139379, 'ARHR': 0.05383151413378151}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.2964910439406663, 'precision': 0.18330814441642884, 'recall': 0.044482994358650406, 'map': 0.11746784914636943, 'NDCG': 0.06348111012115644, 'MRR': 0.3316253848306557, 'F1': 0.07159273357004482, 'HR': 0.9165407220822838, 'ARHR': 0.43835502378954994}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.32616498740554134, 'precision': 0.20010915197310097, 'recall': 0.051517963129576884, 'map': 0.13268800727679195, 'NDCG': 0.07658827359675027, 'MRR': 0.36336901763223, 'F1': 0.08194042131774534, 'HR': 1.000545759865659, 'ARHR': 0.48759795689899493}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.1, 'beta': 1.5000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.0008816120906801007, 'precision': 0.0002770780856423175, 'recall': 5.5344648956848976e-05, 'map': 0.00016554715924993008, 'NDCG': 7.72106878259661e-05, 'MRR': 0.0008039462636439965, 'F1': 9.226077393292853e-05, 'HR': 0.0013853904282115869, 'ARHR': 0.0008123425692695215}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.3266582703610417, 'precision': 0.21078085642313846, 'recall': 0.052337826177164835, 'map': 0.13950024489224058, 'NDCG': 0.07511275561037835, 'MRR': 0.3709403862300488, 'F1': 0.08385426466813302, 'HR': 1.053904282115869, 'ARHR': 0.5059557794570784}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.3235516372795966, 'precision': 0.20822837951297987, 'recall': 0.05179673835993152, 'map': 0.1365959977609789, 'NDCG': 0.0740746048838946, 'MRR': 0.36640358242372234, 'F1': 0.08295776178067409, 'HR': 1.0411418975650715, 'ARHR': 0.4974685138539441}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.7000000000000001, 'beta': 0.5000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.3396130702490903, 'precision': 0.21801007556671087, 'recall': 0.056043278472917346, 'map': 0.14579967814161232, 'NDCG': 0.08933370237668396, 'MRR': 0.3860187517492244, 'F1': 0.08916511471062094, 'HR': 1.0900503778337531, 'ARHR': 0.525971172684066}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.5000000000000001, 'beta': 0.30000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.3250874615169321, 'precision': 0.2137531486145706, 'recall': 0.05305438470235143, 'map': 0.14030297835618286, 'NDCG': 0.0812106117508075, 'MRR': 0.37072628043659756, 'F1': 0.0850091572524355, 'HR': 1.068765743073048, 'ARHR': 0.5069731318220425}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.7000000000000001, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.32405541561712803, 'precision': 0.20212426532322342, 'recall': 0.05060311070540044, 'map': 0.1333568429890778, 'NDCG': 0.07600852783222872, 'MRR': 0.36542681220261936, 'F1': 0.08094189664075309, 'HR': 1.010621326616289, 'ARHR': 0.49001749230342134}
