BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.3720400793764364, 'precision': 0.22774263716769078, 'recall': 0.0839571735716219, 'map': 0.1561673122362857, 'NDCG': 0.11574041929645286, 'MRR': 0.41991661657935536, 'F1': 0.12268617085775574, 'HR': 1.1387131858381752, 'ARHR': 0.5681821651067763}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.3720353091578657, 'precision': 0.22758521995483474, 'recall': 0.08387267733563332, 'map': 0.15609730530356805, 'NDCG': 0.11584103488215984, 'MRR': 0.4199652728087834, 'F1': 0.12257311107336735, 'HR': 1.1379260997738916, 'ARHR': 0.568131123768062}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.36391162693074597, 'precision': 0.22111107930970553, 'recall': 0.08128392315649491, 'map': 0.15146035073830696, 'NDCG': 0.11258467302350819, 'MRR': 0.40997691214210097, 'F1': 0.11886953046896749, 'HR': 1.1055553965482698, 'ARHR': 0.552685394544751}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.3753196046442867, 'precision': 0.2313117147028253, 'recall': 0.08584207688655024, 'map': 0.15849671331944368, 'NDCG': 0.11743237980775817, 'MRR': 0.4240304530753413, 'F1': 0.12521545398383865, 'HR': 1.1565585735138384, 'ARHR': 0.5752420885924745}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37204604214965104, 'precision': 0.22789719224940494, 'recall': 0.08411556856476723, 'map': 0.1562790903829598, 'NDCG': 0.11583448639499959, 'MRR': 0.41984339372428364, 'F1': 0.12287767878692504, 'HR': 1.1394859612467443, 'ARHR': 0.5683755974698481}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 28} - results: {'AUC': 0.36432902105574444, 'precision': 0.22220727553741773, 'recall': 0.081752280017319, 'map': 0.15233570572207233, 'NDCG': 0.1126783151450263, 'MRR': 0.4111708978505248, 'F1': 0.1195287404501368, 'HR': 1.1110363776868255, 'ARHR': 0.5550130226966742}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.001, 'epochs': 6} - results: {'AUC': 0.3750453170764295, 'precision': 0.23028134749140006, 'recall': 0.08542989466631837, 'map': 0.1579202880576373, 'NDCG': 0.11721188844586662, 'MRR': 0.42348903326748655, 'F1': 0.1246259786338572, 'HR': 1.1514067374567103, 'ARHR': 0.5738110230210475}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 10} - results: {'AUC': 0.3749594531421437, 'precision': 0.2313031283093964, 'recall': 0.0858472770027134, 'map': 0.15853420723741418, 'NDCG': 0.1172985365816459, 'MRR': 0.42427325720062653, 'F1': 0.1252197278955375, 'HR': 1.1565156415466957, 'ARHR': 0.575406661133188}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37477699228178707, 'precision': 0.23001516929511467, 'recall': 0.08546914914852811, 'map': 0.15767972593508242, 'NDCG': 0.11699636387140895, 'MRR': 0.4229571538967734, 'F1': 0.12462870362553354, 'HR': 1.1500758464752856, 'ARHR': 0.5729070666017647}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 0.001, 'epochs': 8} - results: {'AUC': 0.37508228627035917, 'precision': 0.23001230716397145, 'recall': 0.08548526873378466, 'map': 0.15775051597868195, 'NDCG': 0.11715072329154487, 'MRR': 0.42317467586363, 'F1': 0.12464541975664521, 'HR': 1.1500615358195712, 'ARHR': 0.5732195159181924}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 12} - results: {'AUC': 0.36407381436217373, 'precision': 0.22215003291455965, 'recall': 0.08156140790425141, 'map': 0.1521560712162192, 'NDCG': 0.11305822441011344, 'MRR': 0.41107597050095424, 'F1': 0.11931634449883417, 'HR': 1.1107501645725406, 'ARHR': 0.554741358749031}
