BayesianSearch: New best config found. Config: {'topK': 150, 'alpha': 0.9000000000000001, 'beta': 1.1000000000000003, 'normalize_similarity': False} - results: {'AUC': 0.02219344190350803, 'precision': 0.012716448667678477, 'recall': 0.008692747317159539, 'map': 0.005958158027800934, 'NDCG': 0.007093023185778077, 'MRR': 0.0221669671904368, 'F1': 0.010326485414776349, 'HR': 0.06358224333838977, 'ARHR': 0.024958022076571704}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.1, 'beta': 1.1000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.0004185866796416612, 'precision': 0.00021465983571367225, 'recall': 4.9403623783904055e-05, 'map': 0.00013220660770676504, 'NDCG': 5.5725317240969814e-05, 'MRR': 0.00042049476707022704, 'F1': 8.0321402933148e-05, 'HR': 0.001073299178568362, 'ARHR': 0.0005178072259270919}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 0.30000000000000004, 'beta': 1.5000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.000248051365713577, 'precision': 0.00013738229485675028, 'recall': 2.0596331397868268e-05, 'map': 7.899481954263143e-05, 'NDCG': 2.665296210332037e-05, 'MRR': 0.0002611694667849681, 'F1': 3.582220380254204e-05, 'HR': 0.0006869114742837517, 'ARHR': 0.0003196046442848011}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 1.3000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.0006272837421410648, 'precision': 0.00031483442571338577, 'recall': 9.752138046786091e-05, 'map': 0.0001812683057137677, 'NDCG': 0.00010600799366579298, 'MRR': 0.0005986624307125754, 'F1': 0.000148915511090829, 'HR': 0.001574172128566931, 'ARHR': 0.0007126706545693927}
BayesianSearch: New best config found. Config: {'topK': 200, 'alpha': 0.9000000000000001, 'beta': 0.9000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.21646297833366687, 'precision': 0.14029880649130141, 'recall': 0.05438859972575302, 'map': 0.0783790837046168, 'NDCG': 0.06948671650410487, 'MRR': 0.23595480694929705, 'F1': 0.07838879541852804, 'HR': 0.7014940324565672, 'ARHR': 0.3019717698465238}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.5000000000000004, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.20526250512798525, 'precision': 0.10606199376051717, 'recall': 0.040303358591029036, 'map': 0.06570130560881855, 'NDCG': 0.04779013433661398, 'MRR': 0.21259933980177265, 'F1': 0.05841074405563646, 'HR': 0.5303099688027706, 'ARHR': 0.26151149145656666}
BayesianSearch: New best config found. Config: {'topK': 500, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.3717598290353646, 'precision': 0.2372992930536663, 'recall': 0.08026219161546633, 'map': 0.16187375775562, 'NDCG': 0.11994973028937018, 'MRR': 0.42441755631241274, 'F1': 0.11995259027795681, 'HR': 1.1864964652680385, 'ARHR': 0.5834234904643065}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.3491322972418611, 'precision': 0.21214116030801575, 'recall': 0.0789046438669892, 'map': 0.14024698601692426, 'NDCG': 0.10406702554407801, 'MRR': 0.3882421267542392, 'F1': 0.11502603688846713, 'HR': 1.0607058015398265, 'ARHR': 0.5174225077992822}
BayesianSearch: New best config found. Config: {'topK': 500, 'alpha': 0.9000000000000001, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.3820670788135503, 'precision': 0.24113168665394785, 'recall': 0.08449022234314073, 'map': 0.16487782277688018, 'NDCG': 0.12793401044948943, 'MRR': 0.4349020197105232, 'F1': 0.1251345149478302, 'HR': 1.2056584332694125, 'ARHR': 0.5958945113864812}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.5000000000000001, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.36099821593825254, 'precision': 0.2289733535591152, 'recall': 0.08455180509846352, 'map': 0.1537179481064176, 'NDCG': 0.11544906750633063, 'MRR': 0.4095621416373156, 'F1': 0.12349956504776911, 'HR': 1.1448667677953004, 'ARHR': 0.5569945714912377}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.9000000000000001, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.37624144938321114, 'precision': 0.2336472137153895, 'recall': 0.08535617581857975, 'map': 0.15905558815208878, 'NDCG': 0.1231956807565598, 'MRR': 0.42409485102605476, 'F1': 0.12503461284563183, 'HR': 1.1682360685766622, 'ARHR': 0.5772913744907525}
