BayesianSearch: New best config found. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 9, 'lambda_2': 10.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.23200077277540893, 'precision': 0.14901972008357367, 'recall': 0.04216062970610527, 'map': 0.08630837554977129, 'NDCG': 0.06197916304201842, 'MRR': 0.2504617571577444, 'F1': 0.06572605651431013, 'HR': 0.7450986004178711, 'ARHR': 0.3277884312659397}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 9, 'lambda_2': 10.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.25759299541104946, 'precision': 0.1643407080912599, 'recall': 0.04933006152425051, 'map': 0.09715109031296541, 'NDCG': 0.07444673659602641, 'MRR': 0.2774134920862279, 'F1': 0.07588251079610712, 'HR': 0.8217035404562237, 'ARHR': 0.36562031922303134}
BayesianSearch: New best config found. Config: {'topK': 300, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.24123114571109747, 'precision': 0.15204213057042495, 'recall': 0.041739667297994096, 'map': 0.09016567764135415, 'NDCG': 0.0671850299784016, 'MRR': 0.2679639276071896, 'F1': 0.06549828740464962, 'HR': 0.7602106528521136, 'ARHR': 0.3462761288722448}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 300, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.20798868504154883, 'precision': 0.14168694009558433, 'recall': 0.03782711911293723, 'map': 0.07679491399296162, 'NDCG': 0.05376330543879988, 'MRR': 0.23105340736716665, 'F1': 0.05971241231326185, 'HR': 0.7084347004779759, 'ARHR': 0.2974569964796117}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 3, 'lambda_2': 1.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.21033563257868443, 'precision': 0.13243080797959936, 'recall': 0.03750828559655844, 'map': 0.07641501776111233, 'NDCG': 0.05394135768308815, 'MRR': 0.23697873436564745, 'F1': 0.05845920986104049, 'HR': 0.6621540398981082, 'ARHR': 0.29930450213231663}
BayesianSearch: New best config found. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 10, 'lambda_2': 0.0001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.25410835074463034, 'precision': 0.16193079366897448, 'recall': 0.04647587739957142, 'map': 0.09846718566645217, 'NDCG': 0.07661829325647868, 'MRR': 0.2793537784901492, 'F1': 0.07222298283627647, 'HR': 0.8096539683448296, 'ARHR': 0.36987750078709}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 10, 'lambda_2': 0.0001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.26982622093744263, 'precision': 0.16838203726496687, 'recall': 0.04848391455588738, 'map': 0.10176867779082117, 'NDCG': 0.07156537141264356, 'MRR': 0.2939294198460342, 'F1': 0.07528909207697812, 'HR': 0.8419101863247374, 'ARHR': 0.38499670854918133}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 0, 'lambda_2': 1.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.21689945333295219, 'precision': 0.14402816337043753, 'recall': 0.04491063556624061, 'map': 0.08024453332951888, 'NDCG': 0.05957247759792046, 'MRR': 0.2432844862952028, 'F1': 0.06847081057790076, 'HR': 0.7201408168522282, 'ARHR': 0.31034898919070963}
BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.3295922894186995, 'precision': 0.19115029050634727, 'recall': 0.057277795993722166, 'map': 0.12763295791714657, 'NDCG': 0.09878183883829343, 'MRR': 0.3627493631758158, 'F1': 0.08814355492578514, 'HR': 0.955751452531555, 'ARHR': 0.4788125971931802}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.32814214297298894, 'precision': 0.19346289246977036, 'recall': 0.05825406814058639, 'map': 0.12886983981607533, 'NDCG': 0.09939503677688824, 'MRR': 0.363513790701885, 'F1': 0.08954502305511504, 'HR': 0.9673144623486648, 'ARHR': 0.48166685747538535}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.32974732152227154, 'precision': 0.19068662526120622, 'recall': 0.05771333762235759, 'map': 0.12707324432107003, 'NDCG': 0.09953756137769654, 'MRR': 0.36212136390089067, 'F1': 0.08860839958278567, 'HR': 0.9534331263058473, 'ARHR': 0.4771888147914696}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 0, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.3129585372601781, 'precision': 0.17467586364809548, 'recall': 0.049845187581863425, 'map': 0.11679123694947852, 'NDCG': 0.09015362795824047, 'MRR': 0.34247283360523806, 'F1': 0.07755843954824254, 'HR': 0.8733793182403617, 'ARHR': 0.44471459782285827}
BayesianSearch: New best config found. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3331973821040482, 'precision': 0.19354589427291302, 'recall': 0.05940085519469298, 'map': 0.12975702891708185, 'NDCG': 0.10160552142484564, 'MRR': 0.3675002623620169, 'F1': 0.09090286128152059, 'HR': 0.9677294713643779, 'ARHR': 0.4858026369768027}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3241387370369312, 'precision': 0.19369758722348435, 'recall': 0.059164813164465875, 'map': 0.12851983297876216, 'NDCG': 0.10023179507099846, 'MRR': 0.36016199662268167, 'F1': 0.09064282820144737, 'HR': 0.9684879361172329, 'ARHR': 0.4786356220841797}
