BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 10.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.2784354883851102, 'precision': 0.1636356003358291, 'recall': 0.03749496182277248, 'map': 0.10385047579064703, 'NDCG': 0.062449429724483745, 'MRR': 0.30441365799046766, 'F1': 0.061010226606936134, 'HR': 0.8181780016792611, 'ARHR': 0.3944430450601729}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 10.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.29312552476910175, 'precision': 0.1913602015113044, 'recall': 0.04644473740906094, 'map': 0.12180647681686246, 'NDCG': 0.07035064555498692, 'MRR': 0.3316008956059134, 'F1': 0.07474760070238717, 'HR': 0.9568010075566751, 'ARHR': 0.4469752308984297}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'pseudoInv': False, 'epochs': 4, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.24579485026588266, 'precision': 0.14399664147773159, 'recall': 0.025633764996932654, 'map': 0.09356247084615665, 'NDCG': 0.050609616446719324, 'MRR': 0.26958088441084715, 'F1': 0.04352021721458347, 'HR': 0.719983207388749, 'ARHR': 0.35270920794848704}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'pseudoInv': False, 'epochs': 7, 'lambda_2': 0.0001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.23973201791211898, 'precision': 0.14384550797647283, 'recall': 0.02486635206178473, 'map': 0.09277711307024507, 'NDCG': 0.0494198803727454, 'MRR': 0.2653281556115181, 'F1': 0.042402627094954994, 'HR': 0.7192275398824517, 'ARHR': 0.3486957738594823}
BayesianSearch: New best config found. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 3, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.2725510775258884, 'precision': 0.16341729638956637, 'recall': 0.033278260600849666, 'map': 0.10571569176228518, 'NDCG': 0.06002493754557248, 'MRR': 0.2996634480828276, 'F1': 0.05529604693819552, 'HR': 0.8170864819479429, 'ARHR': 0.3953960257486719}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 3, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.2674258326336413, 'precision': 0.16240134340887866, 'recall': 0.03337273049234994, 'map': 0.1047514343688719, 'NDCG': 0.059185952254227736, 'MRR': 0.2966295829834719, 'F1': 0.055367660867234644, 'HR': 0.8120067170445004, 'ARHR': 0.3913762944304517}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'pseudoInv': False, 'epochs': 10, 'lambda_2': 0.01, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.2617303386509941, 'precision': 0.15289672544078572, 'recall': 0.030066432950861696, 'map': 0.09969347653698486, 'NDCG': 0.05607488787548572, 'MRR': 0.2868772739994258, 'F1': 0.05025120012446787, 'HR': 0.7644836272040302, 'ARHR': 0.37539462636439225}
BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 2, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.29296809403862234, 'precision': 0.17733837111668382, 'recall': 0.04053875275353667, 'map': 0.11632564838137335, 'NDCG': 0.06944299394615334, 'MRR': 0.3260390428211413, 'F1': 0.06599202571350613, 'HR': 0.8866918555835432, 'ARHR': 0.43243352924714895}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 2, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.29333893087041657, 'precision': 0.18003358522247642, 'recall': 0.042508091918861755, 'map': 0.11788954193487595, 'NDCG': 0.06990564152858678, 'MRR': 0.32693184998598845, 'F1': 0.06877708739706176, 'HR': 0.9001679261125105, 'ARHR': 0.43586272040304136}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 5, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.2925132941505731, 'precision': 0.17747271200669196, 'recall': 0.03995177325932756, 'map': 0.11568316773952203, 'NDCG': 0.06853079805433603, 'MRR': 0.3236649874055239, 'F1': 0.06522126099214845, 'HR': 0.8873635600335852, 'ARHR': 0.4297278197593228}
BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 0.0001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.2992233417296394, 'precision': 0.18048698572625366, 'recall': 0.04179528870437522, 'map': 0.11828646562178698, 'NDCG': 0.07089598852183697, 'MRR': 0.3315638119227351, 'F1': 0.06787320936978664, 'HR': 0.9024349286314022, 'ARHR': 0.4393436887769557}
